Date,MSFT,GOOGL,IBM,AMZN,AAPL,NVDA
2014-09-04,38.698177337646484,29.623001098632812,118.55663299560547,17.297500610351562,21.780363082885742,0.47879141569137573
2014-09-05,39.253910064697266,29.854736328125,118.87996673583984,17.319000244140625,21.96904945373535,0.4773571789264679
2014-09-08,39.73273849487305,30.047014236450195,118.22087860107422,17.117000579833984,21.83363914489746,0.4730544686317444
2014-09-09,39.98069763183594,29.56456756591797,118.12765502929688,16.487499237060547,21.751502990722656,0.46707862615585327
2014-09-10,40.04907989501953,29.636985778808594,119.09138488769531,16.566499710083008,22.419654846191406,0.4687519371509552
2014-09-11,40.18589782714844,29.521617889404297,119.20330047607422,16.525999069213867,22.515111923217773,0.4639710783958435
2014-09-12,39.929386138916016,29.211475372314453,118.9296875,16.559499740600586,22.566162109375,0.4570389986038208
2014-09-15,39.536067962646484,29.048662185668945,119.25923919677734,16.194499969482422,22.55950355529785,0.4508240222930908
2014-09-16,39.98069763183594,29.405250549316406,119.97425079345703,16.38800048828125,22.388580322265625,0.4575170874595642
2014-09-17,39.775482177734375,29.6304931640625,119.87474822998047,16.200000762939453,22.548404693603516,0.4577561616897583
2014-09-18,39.91228103637695,29.829265594482422,120.46543884277344,16.25,22.595020294189453,0.4646882116794586
2014-09-19,40.6305046081543,30.235300064086914,120.62090301513672,16.56599998474121,22.41077423095703,0.45608288049697876
2014-09-22,40.2371940612793,29.829265594482422,120.06752014160156,16.225000381469727,22.432979583740234,0.4515411853790283
2014-09-23,39.8096923828125,29.525114059448242,119.14111328125,16.181499481201172,22.783700942993164,0.4496288299560547
2014-09-24,40.25430679321289,29.886699676513672,119.57011413574219,16.410499572753906,22.586145401000977,0.45225831866264343
2014-09-25,39.365074157714844,29.228954315185547,117.51829528808594,16.096500396728516,21.724870681762695,0.44245782494544983
2014-09-26,39.681427001953125,29.361303329467773,118.17117309570312,16.160499572753906,22.364164352416992,0.4434138834476471
2014-09-29,39.70707321166992,29.3568058013916,117.9100341796875,16.090999603271484,22.222095489501953,0.4426968991756439
2014-09-30,39.638671875,29.38677215576172,118.02819061279297,16.121999740600586,22.364164352416992,0.44102349877357483
2014-10-01,39.24538040161133,28.94827651977539,116.37430572509766,15.873000144958496,22.015663146972656,0.43672093749046326
2014-10-02,39.12566375732422,29.010705947875977,116.21265411376953,15.920499801635742,22.17548179626465,0.4348087012767792
