Date,MSFT,GOOGL,IBM,AMZN,AAPL,NVDA
2014-09-04,38.69815444946289,29.623001098632812,118.55665588378906,17.297500610351562,21.780370712280273,0.4787915050983429
2014-09-05,39.25391387939453,29.854736328125,118.8800048828125,17.319000244140625,21.96904754638672,0.4773572087287903
2014-09-08,39.73273849487305,30.047014236450195,118.22091674804688,17.117000579833984,21.83363151550293,0.47305452823638916
2014-09-09,39.980682373046875,29.56456756591797,118.12764739990234,16.487499237060547,21.751506805419922,0.4670785963535309
2014-09-10,40.04908752441406,29.636985778808594,119.09138488769531,16.566499710083008,22.419652938842773,0.46875184774398804
2014-09-11,40.18590545654297,29.521617889404297,119.20323944091797,16.525999069213867,22.515108108520508,0.4639710485935211
2014-09-12,39.92938995361328,29.211475372314453,118.92971801757812,16.559499740600586,22.566165924072266,0.4570389986038208
2014-09-15,39.53608703613281,29.048662185668945,119.25923919677734,16.194499969482422,22.559499740600586,0.4508240520954132
2014-09-16,39.980682373046875,29.405250549316406,119.97423553466797,16.38800048828125,22.388580322265625,0.4575170874595642
2014-09-17,39.775474548339844,29.6304931640625,119.87480163574219,16.200000762939453,22.54840850830078,0.4577561914920807
2014-09-18,39.91229248046875,29.829265594482422,120.4654312133789,16.25,22.59501838684082,0.464688241481781
2014-09-19,40.63050842285156,30.235300064086914,120.62088775634766,16.56599998474121,22.41077995300293,0.45608285069465637
2014-09-22,40.23719024658203,29.829265594482422,120.06753540039062,16.225000381469727,22.43297576904297,0.4515411853790283
2014-09-23,39.809696197509766,29.525114059448242,119.1410903930664,16.181499481201172,22.78369903564453,0.4496288299560547
2014-09-24,40.254302978515625,29.886699676513672,119.57017517089844,16.410499572753906,22.586143493652344,0.4522581994533539
2014-09-25,39.36508560180664,29.228954315185547,117.518310546875,16.096500396728516,21.72486686706543,0.44245773553848267
2014-09-26,39.68143844604492,29.361303329467773,118.17117309570312,16.160499572753906,22.36416244506836,0.44341394305229187
2014-09-29,39.70707702636719,29.3568058013916,117.9100112915039,16.090999603271484,22.222097396850586,0.4426967203617096
2014-09-30,39.638668060302734,29.38677215576172,118.0281753540039,16.121999740600586,22.36416244506836,0.4410235583782196
2014-10-01,39.24536895751953,28.94827651977539,116.374267578125,15.873000144958496,22.015663146972656,0.43672090768814087
2014-10-02,39.12565994262695,29.010705947875977,116.21263885498047,15.920499801635742,22.175485610961914,0.434808611869812
2014-10-03,39.4078254699707,29.27889633178711,117.30691528320312,16.136999130249023,22.11332893371582,0.4357646703720093
2014-10-06,39.4078254699707,29.355308532714844,117.5369873046875,16.110000610351562,22.11332893371582,0.4331353008747101
2014-10-07,38.929019927978516,28.67209243774414,115.46653747558594,15.848999977111816,21.920209884643555,0.42859357595443726
2014-10-08,39.997779846191406,29.153541564941406,117.73592376708984,16.135000228881836,22.37525749206543,0.43648195266723633
2014-10-09,39.20262145996094,28.507781982421875,115.90800476074219,15.768500328063965,22.424095153808594,0.4281155467033386
2014-10-10,37.646484375,27.727678298950195,115.60330963134766,15.569499969482422,22.359725952148438,0.4027775526046753
2014-10-13,37.32156753540039,27.206274032592773,114.10488891601562,15.322500228881836,22.1555118560791,0.40134328603744507
2014-10-14,37.389984130859375,27.40304946899414,114.27894592285156,15.415499687194824,21.920209884643555,0.4106658697128296
2014-10-15,36.95391845703125,27.00550651550293,113.00439453125,15.298500061035156,21.6516170501709,0.4168807864189148
2014-10-16,36.54350662231445,26.81522560119629,111.81681823730469,15.142999649047852,21.36748504638672,0.4171198606491089
2014-10-17,37.30448532104492,26.1185245513916,113.19086456298828,15.182000160217285,21.68047332763672,0.4164026975631714
2014-10-20,37.689239501953125,26.588483810424805,105.13916778564453,15.310500144958496,22.1444034576416,0.4199882447719574
2014-10-21,38.373260498046875,26.87066078186035,101.48941040039062,15.766500473022461,22.74596405029297,0.437916100025177
2014-10-22,37.945743560791016,27.1033935546875,100.59408569335938,15.648500442504883,22.861391067504883,0.4276375472545624
2014-10-23,38.492950439453125,27.650766372680664,100.83657836914062,15.659000396728516,23.26983070373535,0.4371988773345947
2014-10-24,39.4420280456543,27.413537979125977,100.7744369506836,14.352999687194824,23.35639190673828,0.4417407810688019
2014-10-27,39.25391387939453,27.462480545043945,100.64386749267578,14.498499870300293,23.331981658935547,0.44197970628738403
2014-10-28,39.74982833862305,27.914962768554688,101.71944427490234,14.779500007629395,23.693803787231445,0.45249730348587036
2014-10-29,39.860984802246094,27.890491485595703,101.6324691772461,14.706000328063965,23.82699203491211,0.4496288299560547
2014-10-30,39.373600006103516,27.981386184692383,102.185791015625,14.953499794006348,23.747079849243164,0.4467604458332062
2014-10-31,40.14314651489258,28.360950469970703,102.2168960571289,15.27299976348877,23.973501205444336,0.4670785963535309
2014-11-03,40.562095642089844,28.156185150146484,102.19200134277344,15.28600025177002,24.28426742553711,0.4749668836593628
2014-11-04,40.673255920410156,28.177160263061523,101.12879943847656,15.14050006866455,24.10667610168457,0.4811818599700928
2014-11-05,40.921199798583984,27.765634536743164,100.6127700805664,14.826000213623047,24.16439437866211,0.4811818599700928
2014-11-06,41.63942337036133,27.55287742614746,101.07599639892578,14.831999778747559,24.233503341674805,0.48333314061164856
2014-11-07,41.6223258972168,27.559370040893555,101.45785522460938,14.993000030517578,24.30261993408203,0.47305452823638916
2014-11-10,41.8018913269043,27.87950325012207,102.3468246459961,15.255499839782715,24.26248550415039,0.4785524904727936
2014-11-11,41.7847785949707,28.03232765197754,102.22783660888672,15.600500106811523,24.456445693969727,0.47281548380851746
2014-11-12,41.70782470703125,27.880502700805664,101.36397552490234,15.575499534606934,24.8020076751709,0.46970799565315247
2014-11-13,42.4174919128418,27.79010581970215,101.90857696533203,15.824000358581543,25.152015686035156,0.46731770038604736
2014-11-14,42.391841888427734,27.727678298950195,102.76622009277344,16.391000747680664,25.455209732055664,0.47305452823638916
2014-11-17,42.289241790771484,27.300668716430664,102.76622009277344,16.15250015258789,25.41285514831543,0.4709032475948334
2014-11-18,41.93646240234375,27.194290161132812,101.34517669677734,16.24650001525879,25.7428035736084,0.4821379780769348
2014-11-19,41.48905944824219,27.328636169433594,101.05718994140625,16.32699966430664,25.5644588470459,0.48033764958381653
2014-11-20,41.90205764770508,27.156831741333008,100.56266021728516,16.527000427246094,25.93007469177246,0.4882591962814331
