Date,MSFT,GOOGL,IBM,AMZN,AAPL,NVDA
2014-09-04,38.698158264160156,29.623001098632812,118.55667114257812,17.297500610351562,21.780363082885742,0.4787915050983429
2014-09-05,39.2539176940918,29.854736328125,118.87997436523438,17.319000244140625,21.96904754638672,0.4773572087287903
2014-09-08,39.73273468017578,30.047014236450195,118.22090911865234,17.117000579833984,21.83363914489746,0.47305458784103394
2014-09-09,39.980690002441406,29.56456756591797,118.12763977050781,16.487499237060547,21.751506805419922,0.4670785665512085
2014-09-10,40.04909133911133,29.636985778808594,119.09138488769531,16.566499710083008,22.41965675354004,0.46875184774398804
2014-09-11,40.18589401245117,29.521617889404297,119.20332336425781,16.525999069213867,22.51511001586914,0.4639711081981659
2014-09-12,39.929386138916016,29.211475372314453,118.92973327636719,16.559499740600586,22.566162109375,0.457038938999176
2014-09-15,39.536075592041016,29.048662185668945,119.25926971435547,16.194499969482422,22.559499740600586,0.45082417130470276
2014-09-16,39.980690002441406,29.405250549316406,119.97425842285156,16.38800048828125,22.38858413696289,0.4575171172618866
2014-09-17,39.77548599243164,29.6304931640625,119.8747787475586,16.200000762939453,22.54840850830078,0.4577561020851135
2014-09-18,39.91228485107422,29.829265594482422,120.46543884277344,16.25,22.59501075744629,0.464688241481781
2014-09-19,40.63050842285156,30.235300064086914,120.62088775634766,16.56599998474121,22.41077995300293,0.456082820892334
2014-09-22,40.23719024658203,29.829265594482422,120.0675048828125,16.225000381469727,22.432981491088867,0.4515412449836731
2014-09-23,39.80968475341797,29.525114059448242,119.1410903930664,16.181499481201172,22.7836971282959,0.44962888956069946
2014-09-24,40.25428771972656,29.886699676513672,119.57013702392578,16.410499572753906,22.586143493652344,0.45225831866264343
2014-09-25,39.365074157714844,29.228954315185547,117.51832580566406,16.096500396728516,21.724870681762695,0.44245773553848267
2014-09-26,39.68144226074219,29.361303329467773,118.17117309570312,16.160499572753906,22.36416244506836,0.4434139132499695
2014-09-29,39.707088470458984,29.3568058013916,117.91001892089844,16.090999603271484,22.222097396850586,0.44269677996635437
2014-09-30,39.6386833190918,29.38677215576172,118.0281753540039,16.121999740600586,22.36416244506836,0.4410235583782196
2014-10-01,39.245384216308594,28.94827651977539,116.37431335449219,15.873000144958496,22.015653610229492,0.43672093749046326
2014-10-02,39.12567138671875,29.010705947875977,116.21263122558594,15.920499801635742,22.175479888916016,0.434808611869812
2014-10-03,39.40782165527344,29.27889633178711,117.30692291259766,16.136999130249023,22.113325119018555,0.43576470017433167
2014-10-06,39.40782165527344,29.355308532714844,117.5370101928711,16.110000610351562,22.113325119018555,0.4331352710723877
2014-10-07,38.929012298583984,28.67209243774414,115.46649169921875,15.848999977111816,21.92021369934082,0.42859363555908203
2014-10-08,39.997798919677734,29.153541564941406,117.7359390258789,16.135000228881836,22.375259399414062,0.4364818036556244
2014-10-09,39.20261764526367,28.507781982421875,115.90796661376953,15.768500328063965,22.42409896850586,0.4281156063079834
2014-10-10,37.646488189697266,27.727678298950195,115.60331726074219,15.569499969482422,22.359722137451172,0.4027775526046753
2014-10-13,37.32157897949219,27.206274032592773,114.1048583984375,15.322500228881836,22.155498504638672,0.40134337544441223
2014-10-14,37.38998794555664,27.40304946899414,114.27894592285156,15.415499687194824,21.92021369934082,0.4106658697128296
2014-10-15,36.953922271728516,27.00550651550293,113.00437927246094,15.298500061035156,21.651620864868164,0.4168808162212372
2014-10-16,36.54351043701172,26.81522560119629,111.81683349609375,15.142999649047852,21.367488861083984,0.4171198308467865
2014-10-17,37.30447769165039,26.1185245513916,113.1908950805664,15.182000160217285,21.680479049682617,0.416402667760849
2014-10-20,37.689239501953125,26.588483810424805,105.13914489746094,15.310500144958496,22.144407272338867,0.4199881851673126
2014-10-21,38.373252868652344,26.87066078186035,101.48943328857422,15.766500473022461,22.745960235595703,0.4379161298274994
2014-10-22,37.94575119018555,27.1033935546875,100.5941162109375,15.648500442504883,22.861391067504883,0.4276374578475952
2014-10-23,38.49296188354492,27.650766372680664,100.83658599853516,15.659000396728516,23.269826889038086,0.4371989667415619
2014-10-24,39.44202423095703,27.413537979125977,100.77442169189453,14.352999687194824,23.356403350830078,0.4417406916618347
2014-10-27,39.2539176940918,27.462480545043945,100.64382934570312,14.498499870300293,23.331981658935547,0.4419797658920288
2014-10-28,39.74983596801758,27.914962768554688,101.71947479248047,14.779500007629395,23.693809509277344,0.4524973928928375
2014-10-29,39.86098861694336,27.890491485595703,101.63246154785156,14.706000328063965,23.826990127563477,0.44962888956069946
2014-10-30,39.373626708984375,27.981386184692383,102.18582153320312,14.953499794006348,23.74707794189453,0.4467604160308838
2014-10-31,40.14314270019531,28.360950469970703,102.21687316894531,15.27299976348877,23.97349739074707,0.4670785665512085
2014-11-03,40.562103271484375,28.156185150146484,102.19200134277344,15.28600025177002,24.28426742553711,0.47496679425239563
2014-11-04,40.67324447631836,28.177160263061523,101.12881469726562,15.14050006866455,24.106678009033203,0.481181800365448
2014-11-05,40.92121124267578,27.765634536743164,100.61276245117188,14.826000213623047,24.164392471313477,0.481181800365448
2014-11-06,41.6394157409668,27.55287742614746,101.07601928710938,14.831999778747559,24.233503341674805,0.48333311080932617
2014-11-07,41.622318267822266,27.559370040893555,101.4578628540039,14.993000030517578,24.30261993408203,0.47305458784103394
2014-11-10,41.801876068115234,27.87950325012207,102.34680938720703,15.255499839782715,24.262487411499023,0.4785524606704712
2014-11-11,41.78479766845703,28.03232765197754,102.22786712646484,15.600500106811523,24.45644760131836,0.4728154242038727
